% Model:              SDOF_2liners_2D.mph
% Version:            COMSOL 5.4.0.246
% Date:               Nov 26 2021, 10:17
% Table:              Absorption Table - Global Evaluation 1 (freq, alpha, abs(R), abs(T))
% freq (Hz)              alpha (1)                abs(R) (1)               abs(T) (1)
100                      0.010211908014136184     0.03782022650324927      0.99416181904814
103                      0.010873273928127536     0.03902950359574993      0.9937823825772631
106                      0.011555850338792029     0.04024400814529812      0.9933904416037076
109                      0.012262336047834999     0.04146427219756324      0.9929845809897007
112                      0.012994585170431172     0.04269085700197041      0.9925638042755771
115                      0.013753801730731485     0.04392428393740759      0.9921274391678997
118                      0.014540751768649107     0.04516500624506761      0.9916750326806831
122                      0.015634030394624965     0.046831303739756705     0.9910463150607088
125                      0.016487516691528037     0.0480904373962668       0.9905552953467603
128                      0.017370183656315707     0.049357941489012465     0.9900472766265516
132                      0.01859326024846364      0.05106139839240502      0.9893429503189217
136                      0.01987030800724643      0.052780752885936776     0.9886070423163833
140                      0.021202835235091033     0.05451658374113549      0.9878386036504672
145                      0.02294912362947643      0.05671045988604459      0.9868306846212459
150                      0.024788432878597666     0.05893225266794261      0.9857680034962
155                      0.02672471366765572      0.061183254144965726     0.9846481075717237
160                      0.028762164328849926     0.06346480716697489      0.9834683797267754
165                      0.03090522511483762      0.06577829802900134      0.9822260383402439
170                      0.03315859259908327      0.06812515318434922      0.9809181265042082
175                      0.03552724146377373      0.07050683908190032      0.9795414969152176
180                      0.03801644701489737      0.07292486360579029      0.9780927958293014
185                      0.04063180628314822      0.07538077797707893      0.9765684471804432
190                      0.043379257857835696     0.07787617852384074      0.9749646367744254
195                      0.046265101316494306     0.08041270812560058      0.9732772960751795
200                      0.04929601702513964      0.08299205732981184      0.9715020851212959
206                      0.0531346119194368       0.0861462502942634       0.9692493031417672
212                      0.05720537660604397      0.08936770882199442      0.9668547129811507
218                      0.061522290396728185     0.09265963398865819      0.9643090281815055
224                      0.06610032500727825      0.09602532934449781      0.9616022104368326
230                      0.07095550515030724      0.09946819970086863      0.9587234075049805
236                      0.0761049702876464       0.1029917485292348       0.9556608862181419
243                      0.08250912725140247      0.10720932895798041      0.951838763936927
250                      0.08937004400515236      0.11154748571026614      0.9477273418164982
258                      0.09781366377371847      0.11666073391136689      0.9426434158203953
265                      0.10576990178981382      0.12127763967822183      0.9378282531062208
272                      0.11429730258606241      0.12603433813561998      0.9326403610313323
280                      0.12479616853645759      0.1316497270201334       0.9262138958356578
290                      0.1391483070889078       0.13895117974133378      0.9173572164427464
300                      0.1549973140794536       0.14658241569274183      0.9074779784271498
307                      0.1670626763789319       0.1521292095303761       0.8998855634072207
315                      0.18190975235220752      0.1586822955913175       0.8904550391309278
325                      0.20217788270500336      0.16720334733587006      0.8774196019776838
335                      0.2244984247111934       0.176098166440283        0.8628389253303174
345                      0.2490307459653015       0.18536898174825187      0.8465267831795488
355                      0.2759193367482632       0.19500978096732655      0.828282469076107
365                      0.3052795624419876       0.20500351467580127      0.8078947929827132
375                      0.3371784465438008       0.2153187597080412       0.7851492757265908
387                      0.3787925657807403       0.228050059787472        0.754453845142425
400                      0.4277281835614356       0.24213187757418334      0.7166895913161884
412                      0.4758858726658485       0.25519660644539316      0.6774871359611979
425                      0.530161860865578        0.2691181095906559       0.6304074731669776
437                      0.5806680265429638       0.28140840330544775      0.5832163269371963
450                      0.6335185243922413       0.29366070110709874      0.5293815903797996
462                      0.6780839334781883       0.30354461275793343      0.4793503255318056
475                      0.7188166058521603       0.31222103147059044      0.4286040383095804
487                      0.7469773671694697       0.3179822390827929       0.3897562423597905
500                      0.7652121329733476       0.32150870989933156      0.3625189877586
515                      0.7691853559453966       0.32195028990242713      0.35659873090961286
530                      0.7556116162644424       0.31869911091899156      0.377914355952512
545                      0.7272544203847369       0.3122621292824932       0.4186143120238804
560                      0.6880730900675913       0.30333576926902023      0.46895023298254196
580                      0.6261519558710718       0.28884303963120644      0.538904205388614
600                      0.5606959263929173       0.2728156096090104       0.6040494323817768
615                      0.5127652445377141       0.26051191952145175      0.6475865156483221
630                      0.4674499196367968       0.24835547925106702      0.6861994143754249
650                      0.41232370977048294      0.23275393091136487      0.7304121424749349
670                      0.36372597634434         0.21810966027776843      0.7672693137022857
690                      0.32145618573011714      0.2045431789638761       0.797938532851519
710                      0.28493905813160214      0.19206613549862356      0.8235117130090028
730                      0.25347121690971375      0.18063109168027544      0.8449267375392249
750                      0.226349414289851        0.17016255602432112      0.8629572934029927
775                      0.19758418116254184      0.1583060378514039       0.881677388400796
800                      0.17352411847074312      0.1476620704281346       0.8970350018177292
825                      0.15327863792363583      0.13808104442240515      0.9097554546401917
850                      0.1361268848684989       0.1294331958361772       0.9203913096868825
875                      0.12148730082593306      0.12160869151260857      0.9293675404933498
900                      0.10888916596331166      0.11451539128275788      0.9370149727704703
925                      0.09794890879235552      0.10807564533695914      0.9435945877826156
950                      0.08835156051754689      0.10222283182613896      0.9493149804653342
975                      0.07983683079260795      0.0968980246263716       0.9543447710502212
1000                     0.07218902116114811      0.09204703615375878      0.958821319107038
