% Model:              SDOF_2liners_2D.mph
% Version:            COMSOL 5.4.0.246
% Date:               Nov 25 2021, 14:47
% Table:              Absorption Table - Global Evaluation 1 (freq, alpha, abs(R), abs(T))
% freq (Hz)              alpha (1)                abs(R) (1)               abs(T) (1)
100                      0.010028823715539259     0.037411747004276324     0.9942693485522667
103                      0.010669844027556885     0.038583583410415956     0.9939021395809824
106                      0.011329313348182879     0.039758333016159386     0.993524011590859
109                      0.012009820578654185     0.040936448087114274     0.9931336197306769
112                      0.012713180877163888     0.04211840915931107      0.9927300029377197
115                      0.013440577500301809     0.04330465591418271      0.9923125159322805
118                      0.014192740865606068     0.0444955588499301       0.9918807410052008
122                      0.015234900449702327     0.04609118000309625      0.9912823526504544
125                      0.01604635135408994      0.047294008032148144     0.9908162924832056
128                      0.016883650263938788     0.04850228312697084      0.9903352352953683
132                      0.018040739309818088     0.05012206832878215      0.9896701667508356
136                      0.019245071939587022     0.051752185258360776     0.9889775727393404
140                      0.02049762700934199      0.05339299613977936      0.9882568294496504
145                      0.022132885389529622     0.0554596286881754       0.9873152202798456
150                      0.02384778825966094      0.0575443555022139       0.9863269533426398
155                      0.025645067737330884     0.059648015447756185     0.9852903361526557
160                      0.02752763436429395      0.06177148636490393      0.9842035608084216
165                      0.02949856140341134      0.06391567740286049      0.9830647103719684
170                      0.031561089893732186     0.06608152544418784      0.9818717544064688
175                      0.03371864268884428      0.0682699946968503       0.9806225395814884
180                      0.035974840505895944     0.07048207794776104      0.9793147789052659
185                      0.03833351717229205      0.07271879834848279      0.9779460410444232
190                      0.0407987336867055       0.07498121115447567      0.9765137399376941
195                      0.04337479167377556      0.07727040523874228      0.9750151243957527
200                      0.04606624692501293      0.07958750439544025      0.9734472673026993
206                      0.049455129705799905     0.08240649379939145      0.9714700407495287
212                      0.05302602367792131      0.08526941383744907      0.9693828466534244
218                      0.0567884336509461       0.08817841926846962      0.9671794728613546
224                      0.06075253429565697      0.09113574682723963      0.9648532227000044
230                      0.06492921531331841      0.09414371729982508      0.9623968750882622
236                      0.06933012912830705      0.09720473721361678      0.9598026411377105
243                      0.07476461142965352      0.10084630708782652      0.9565905137085012
250                      0.08054259172909994      0.10456759046096856      0.9531647429988623
258                      0.08759620891898612      0.10892358006904938      0.9489675678261904
265                      0.09419010863950195      0.11283026136016941      0.9450286892374717
272                      0.10120618316751728      0.11683059999284359      0.9408211454563481
280                      0.10977907369320805      0.12152317972604829      0.9356564770769572
290                      0.1213965917980131       0.12758070697188084      0.9286154055423278
300                      0.13411032869031214      0.13386489299397167      0.9208527904792385
307                      0.14372128108948157      0.13840652962136393      0.9149439061869798
315                      0.1554822531656025       0.14374815192888266      0.9076641535564949
325                      0.17144529626603788      0.1506625347561228       0.8976945495851149
335                      0.18893800636664904      0.15785297943259818      0.8866478616212881
345                      0.20810483960582404      0.1653310583035326       0.874391675140157
355                      0.22909562434241604      0.17310562322718345      0.8607780311234206
365                      0.2520608994052419       0.18118144410238124      0.8456431782422973
375                      0.2771446757736977       0.18955742840568934      0.8288083648000448
387                      0.3102180574891237       0.1999910786968733       0.8060927433940448
400                      0.349869666209371        0.21172202966184966      0.7780129278787699
412                      0.3900257127305511       0.22286956777490285      0.7485341962991917
425                      0.43715917966660456      0.23515365736432275      0.7124209273748057
437                      0.483488912922817        0.24649910707539666      0.6750920509739506
450                      0.5356393951570022       0.2585087140895081       0.6305028545397607
462                      0.5840352441953292       0.26899545520981144      0.5861793248496037
475                      0.6343274611908483       0.2792449916202409       0.53637186117857
487                      0.6760599087100312       0.28721139477088364      0.4913753209144029
500                      0.7128348994397224       0.2936910200738321       0.44823061618799476
515                      0.7400802998932896       0.29776083600047837      0.4138335228700142
530                      0.7475932468671782       0.29772145365079766      0.40468344316129085
545                      0.7344317113977735       0.2935071610605014       0.42358214670643446
560                      0.7027160228065775       0.2855048795620406       0.4645115078657225
580                      0.639401880778458        0.2702403867019813       0.5362539068544915
600                      0.5636527816021812       0.2516816763565446       0.6107401674887434
615                      0.5052727092391206       0.23679063194488495      0.6623122280193998
630                      0.44909329007937715      0.221784952045643        0.7083206512355367
650                      0.3806563487686039       0.20234648434579244      0.7605258388143654
670                      0.32115506310524466      0.18410735641421552      0.8030874287454165
690                      0.2706383450675697       0.1673405636349278       0.8374716656071267
710                      0.2282902047500428       0.15210283948722858      0.8652020119428061
730                      0.1929944776605501       0.1383344870825239       0.8876199028993575
750                      0.16362336036892033      0.12592193184126046      0.905825759576556
775                      0.13370865124127074      0.11211219067915881      0.923970889941804
800                      0.10982524809265504      0.09996260313709979      0.9381802757899995
825                      0.09067651930401077      0.08924651275247111      0.9493990418456889
850                      0.07526261471405338      0.07977064203790339      0.9583183343517995
875                      0.06281603936655589      0.07137401174421393      0.9654479328689771
900                      0.05274545917559659      0.06392351318342586      0.9711685359847135
925                      0.04459103064107073      0.05730848207639475      0.9757687775497988
950                      0.03799037778957892      0.051435323617713774     0.9794713011082877
975                      0.032653235518751544     0.046222657952920465     0.9824511338346634
1000                     0.02834278162768533      0.04159722167118735      0.9848486632582454
