% Model:              SDOF_2liners_2D.mph
% Version:            COMSOL 5.4.0.246
% Date:               Nov 25 2021, 14:25
% Table:              Absorption Table - Global Evaluation 1 (freq, alpha, abs(R), abs(T))
% freq (Hz)              alpha (1)                abs(R) (1)               abs(T) (1)
100                      0.009707254481335359     0.03664565130890805      0.9944595727121393
103                      0.010309812355081216     0.037746326714233405     0.994115386896562
106                      0.010926702532536248     0.03884561674830218      0.9937627058442613
109                      0.011560273338576565     0.03994384362178478      0.9934003301882589
112                      0.012212158660614092     0.04104135765247458      0.9930274156846968
115                      0.012883380126812671     0.04213846810083532      0.9926434250924661
118                      0.013574499919444816     0.0432354147755604       0.9922480531549258
122                      0.014527363369974289     0.04469803667528052      0.9917029404753225
125                      0.01526562613268545      0.04579515159643631      0.9912805747907976
128                      0.016024129318549463     0.046892455157880875     0.9908465917238232
132                      0.017066951224127602     0.04835586926785752      0.9902498465959095
136                      0.018145839075430326     0.04981971512329286      0.9896323342078126
140                      0.019261011360983793     0.05128403726824872      0.9889939009723392
145                      0.020706535144034977     0.05311520332740194      0.9881660994141894
150                      0.022210174833788954     0.05494737085050845      0.9873047207437163
155                      0.02377296296394016      0.05678074567192111      0.9864091361889348
160                      0.02539603444641514      0.058615567711850634     0.9854786556670836
165                      0.02708060461379347      0.06045210315837808      0.9845125385742608
170                      0.02882796787838382      0.062290640745626104     0.983509993948773
175                      0.030639506254455107     0.06413149122085365      0.9824701754146711
180                      0.03251670076486446      0.06597498851128582      0.9813921744777014
185                      0.03446114254251864      0.06782149146963985      0.980275013836584
190                      0.03647454288281893      0.06967138562850425      0.979117641114583
195                      0.03855874259822434      0.07152508479417699      0.9779189228391899
200                      0.04071572129049861      0.07338303250441523      0.9766776383484764
206                      0.04340317138264016      0.07561884846196944      0.9751300520313408
212                      0.04620247755128182      0.07786235003157119      0.9735168087384415
218                      0.0491179793123786       0.08011449097097675      0.971835217011651
224                      0.052154405401384496     0.08237630034516075      0.9700823365777048
230                      0.05531690802812961      0.08464888677887202      0.9682549550293911
236                      0.05861110038989348      0.08693344295745928      0.9663495620662684
243                      0.06262895433676274      0.08961560173356543      0.9640228677729425
250                      0.06684505726771106      0.0923179977974027       0.9615780415623932
258                      0.07192138137057624      0.0954342955467651       0.9586297063323859
265                      0.07660356717558248      0.09818833205444562      0.9559055833463802
272                      0.08152537148829708      0.10097077198245553      0.9530370043796672
280                      0.08746448697265774      0.10418939827413726      0.9495683663194638
290                      0.09539944180777526      0.10827799503970119      0.9449213903719225
300                      0.10395840450698945      0.11244907888164608      0.9398919087595551
307                      0.11035751660615623      0.11542413360875388      0.9361195184240698
315                      0.11812076136098815      0.11888627803190055      0.9315284705980453
325                      0.12856564718944818      0.12331736871407271      0.9253254451186292
335                      0.13992665876419474      0.1278771807380826       0.9185427414564251
345                      0.15231786384562973      0.13258168799088488      0.9111005609502487
355                      0.16587046402062666      0.13744799910038694      0.9029050800182007
365                      0.18073478706052393      0.142494144435006        0.8938459776388836
375                      0.19708203017999804      0.147738678088535        0.8837936709530422
387                      0.2189296647185036       0.15431982490146862      0.8702044167457876
400                      0.2457580406372022       0.16183520665407775      0.8532592368383889
412                      0.273880175325412        0.16915147337678615      0.8351692066456057
425                      0.3084852517563603       0.17749430100521946      0.8124103158837339
437                      0.3446492561091603       0.18555431823370086      0.7879849864532104
450                      0.3886502396296795       0.19458579839546816      0.7572886684964452
462                      0.43355601463673976      0.20303220503722103      0.7247219529453928
475                      0.48585198780735567      0.211968594931798        0.6849943992145364
487                      0.5353876206981993       0.21953888544453937      0.6453022989882882
500                      0.586170813179257        0.22622429694468482      0.6022057408333352
515                      0.6322274620091508       0.23059744123684012      0.5608897913903153
530                      0.652714154640011        0.22970840123724912      0.5426968728130059
545                      0.6378510787593564       0.22235702007930883      0.5592014635729179
560                      0.5872860923772494       0.2086603281879747       0.6075975436612934
580                      0.4833779587961077       0.18337616034700013      0.6949785788211631
600                      0.370327297498133        0.1550811194575698       0.7782175459918993
615                      0.29461094670511523      0.13455722369104714      0.8290255767148818
630                      0.23121220312129998      0.11576931950919998      0.869129024678774
650                      0.16570455557955832      0.09400771747561133      0.9085471883592329
670                      0.11827986588288952      0.07593806950952957      0.9359238984641199
690                      0.08433468731625005      0.06110272673660411      0.9549511869562244
710                      0.060025954871803844     0.048957081032481066     0.968285727120345
730                      0.04251675979770009      0.03900568562168951      0.9777329884439216
750                      0.029808845865426536     0.030838315692316928     0.9844999504417633
775                      0.018606877839173697     0.022646788660318246     0.9903939847980707
800                      0.010961969585447817     0.016248867403036958     0.9943711604439616
825                      0.005718383779557357     0.011284678738386197     0.9970728520254747
850                      0.002127699068586897     0.007488033832915753     0.9989075183823226
875                      -3.01801440174998E-4     0.004662491079009532     1.0001400215055456
900                      -0.0018971843534872912   0.002671159583513611     1.0009445785156972
925                      -0.002877901791443538    0.0014533305319916773    1.0014368625239478
950                      -0.0033918182050983736   0.0010198346823652995    1.0016939543305226
975                      -0.003538499056042199    0.0010988560597926644    1.0017670844919002
1000                     -0.0033846722093285875   0.0013338629730634051    1.0016900184283049
