% Model:              SDOF_2liners_2D.mph
% Version:            COMSOL 5.4.0.246
% Date:               Nov 26 2021, 10:14
% Table:              Absorption Table - Global Evaluation 1 (freq, alpha, abs(R), abs(T))
% freq (Hz)              alpha (1)                abs(R) (1)               abs(T) (1)
100                      0.010231238543348842     0.03786684694023964      0.9941503223152199
103                      0.010895283224811037     0.039080943173921114     0.9937692874384002
106                      0.011580886949123181     0.04030058685427621      0.9933755461808378
109                      0.012290765877492782     0.041526321868345345     0.9929676725425626
112                      0.01302678761561038      0.04275872152688164      0.992544661019229
115                      0.01379016959381596      0.04399831949835792      0.9921058301852199
118                      0.01458169346766236      0.04524558155138941      0.9916507166751881
122                      0.015681739111391146     0.0469211943720609       0.9910179929785877
125                      0.01654083208745205      0.04818777822499507      0.9905236523891222
128                      0.017429590954157304     0.04946314482961394      0.9900120233357812
132                      0.01866159684513391      0.05117775013979839      0.9893024012128417
136                      0.019948567122895833     0.052909043612173925     0.9885606030897394
140                      0.02129209346207639      0.05465763819465145      0.9877856291346347
145                      0.023053780296120374     0.056868682469737336     0.9867685507037787
150                      0.024910493514875176     0.05910905801396792      0.985695503563766
155                      0.02686638123839935      0.06138013043345873      0.9845639127804615
160                      0.028925853550857084     0.06368331883892189      0.9833710293428433
165                      0.031093578272974876     0.06602008860283402      0.9821139290468796
170                      0.033374496839551515     0.06839194817455554      0.9807895006500311
175                      0.03577384748061263      0.07080044901194452      0.9793944297059762
180                      0.03829718909456048      0.07324718710872002      0.977925181435727
185                      0.04095042371882174      0.0757338049716044       0.9763779837059525
190                      0.04373981779441971      0.07826199345334578      0.9747488099948052
195                      0.046672023095205906     0.08083349324200556      0.9730333618510152
200                      0.04975409810538067      0.08345009600268077      0.9712270503706961
206                      0.05366099006036551      0.0866521545444412       0.9689326158471706
212                      0.05780830288652472      0.08992510390703791      0.9664911654023454
218                      0.06221083793144677      0.09327233842685653      0.9638928534608705
224                      0.06688445836236534      0.09669736118984601      0.9611270269722703
230                      0.07184615409089123      0.10020378231981708      0.95818215800437
236                      0.07711410769079208      0.10379531566730724      0.9550457710260446
243                      0.08367313897126583      0.10809810143639804      0.9511265223378961
250                      0.09070869396483228      0.11252813559170184      0.9469048129223039
258                      0.09937879686574425      0.1177550010524763       0.9416766763923736
265                      0.10755929255131436      0.12247924439208507      0.9367174291865341
272                      0.11633785318375278      0.1273510226755787       0.9313666645525442
280                      0.12716003970493028      0.1331078114969678       0.9247282145655324
290                      0.1419767677332079       0.14060143730944635      0.9155623780460346
300                      0.1583653116516598       0.14844256921097354      0.9053173432528427
307                      0.17085746434204563      0.15414703517173028      0.8974303467153981
315                      0.18624591580932892      0.16089116166196307      0.8876193543911349
325                      0.20727670719596247      0.16966692444616213      0.874034568854698
335                      0.23046077393610864      0.17883307751667657      0.8588119447526366
345                      0.25596032615611897      0.18838978495027603      0.8417535047567487
355                      0.28391787536570134      0.1983276957654967       0.822647099141939
365                      0.31443962632709643      0.2086248052176164       0.8012715297081353
375                      0.3475733511399588       0.21924275664446632      0.7774054685419807
387                      0.39071892149533527      0.23232322277118167      0.7451892368156404
400                      0.4412746249698237       0.24674274655496067      0.7055801811648983
412                      0.4907510071511309       0.26005369732587036      0.6645457601670586
425                      0.5460573932087069       0.2741350138105908       0.6154612912233882
437                      0.5969312230045568       0.286441109566431        0.5665865050862005
450                      0.64931343503283         0.2985369944460057       0.5114315476330293
462                      0.6924950383538547       0.3081015072818314       0.4610622765492844
475                      0.7306634143094425       0.31624833177429723      0.4114894632193291
487                      0.7556065156437949       0.32138078440185885      0.37564328261457186
500                      0.7697613900949424       0.3241318353694185       0.3538038484882688
515                      0.7688661891567423       0.3236549613825629       0.35550144418231183
530                      0.7509467769439327       0.31957023495585485      0.3833119982290235
545                      0.7192874399287099       0.31247049709909513      0.427872350723828
560                      0.6780558069478106       0.3030936816437984       0.4796648967766947
580                      0.6152044216893746       0.28832681398436094      0.5492387701612598
600                      0.5503398528975751       0.2723314389137021       0.6127770675226166
615                      0.5034553361918475       0.2601946739266829       0.6548613559130968
630                      0.45944668551727147      0.24828510004221302      0.6920316637118252
650                      0.40619239121799033      0.23308483661084023      0.7344923877918053
670                      0.35940415348353605      0.21887756367219555      0.7698626232240321
690                      0.31876546225043834      0.20575123008357554      0.7993128105245513
710                      0.2836600436171538       0.19369907679913545      0.8239057130703785
730                      0.2533835362862029       0.1826644046503978       0.844541401582843
750                      0.2272503112549744       0.17256798372763166      0.8619570637434358
775                      0.19947289897768905      0.16113613610176217      0.8800921807768237
800                      0.176170327997189        0.1508741205627127       0.89502328000295
825                      0.15649499826479796      0.1416362117743901       0.9074382542351861
850                      0.13976169928754267      0.13329690728843596      0.9178617734821488
875                      0.12541764401533306      0.1257504481657059       0.9266979986871619
900                      0.1130152833017044       0.11890836897823012      0.9342620170408474
925                      0.10218999851016253      0.11269625315611094      0.9408026126740993
950                      0.09264278404086423      0.10705030320807273      0.9465185938702924
975                      0.08412731408630492      0.10191406638151373      0.9515703909786598
1000                     0.07644060107382689      0.09723553514205865      0.9560882018055712
