% Model:              SDOF_2liners_2D.mph
% Version:            COMSOL 5.4.0.246
% Date:               Nov 26 2021, 11:28
% Table:              Absorption Table - Global Evaluation 1 (freq, alpha, abs(R), abs(T))
% freq (Hz)              alpha (1)                abs(R) (1)               abs(T) (1)
100                      0.004088663178218321     0.019035505303076763     0.9977720112128011
103                      0.0043573844954596375    0.01965331911105921      0.9976253618229938
106                      0.004632687907929922     0.020273813089760385     0.9974749543697182
109                      0.004917143014069425     0.020897403088239463     0.997319485185213
112                      0.005212466474211919     0.021524557294111058     0.997158075211288
115                      0.005519698901745196     0.022155718841932837     0.9969901831115751
118                      0.005839409779761384     0.02279127048656237      0.9968155035962507
122                      0.006285570994178591     0.023646036921769312     0.9965717705934258
125                      0.006635278058099714     0.024292955027308417     0.9963807376088427
128                      0.006998037215898534     0.024945105871146078     0.9961825658367942
132                      0.007502277314970218     0.02582308020759607      0.9959070695670464
136                      0.008030491777171855     0.02671105365411368      0.9956184147732078
140                      0.008583382461828437     0.027609413005094875     0.9953161999343152
145                      0.009310531470738237     0.028747587571170272     0.9949186121176443
150                      0.010079565709164351     0.029903474166678788     0.9944979721063278
155                      0.010892664313125744     0.031077982864481844     0.9940530643119356
160                      0.011752173281160405     0.03227207764216223      0.993582578210537
165                      0.012660594482222676     0.03348676989412558      0.993085113049146
170                      0.013620596612763158     0.03472311581836262      0.9925591713419918
175                      0.014635035227323234     0.035982217191409344     0.9920031475850604
180                      0.015706974706180432     0.03726522417341176      0.9914153157789751
185                      0.01683970966811743      0.03857333899241237      0.9907938170229258
190                      0.01803678583015067      0.03990781987409178      0.9901366471769169
195                      0.019302021224592014     0.04126998499219946      0.9894416441176062
200                      0.020639528731416612     0.042661216441891234     0.9887064740762455
206                      0.022346201619300676     0.04437110850959132      0.9877676868122025
212                      0.024171670034456083     0.04612759201247994      0.9867626742133461
218                      0.02612505032399426      0.047933472063196814     0.9856862238724717
224                      0.02821633599167528      0.049791726983271015     0.9845326037934692
230                      0.03045649138366391      0.05170552119090926      0.983295503749871
236                      0.03285755638037169      0.053678218908612844     0.9819679691489063
243                      0.03587989637843636      0.05605893382931987      0.980294598352701
250                      0.03916262654195668      0.058530782979723        0.9784740777873596
258                      0.04326676039395072      0.06147575815641695      0.9761936133601484
265                      0.04719933139773591      0.06416555509136071      0.9740038245007469
272                      0.05148534258540016      0.06696875822652223      0.9716119816244535
280                      0.0568645858653285       0.07032186078299223      0.9686022145497547
290                      0.06440389160715476      0.07475696964132715      0.9643689666734879
300                      0.07298431205783629      0.07948946183413722      0.9595296313295817
307                      0.0796999442841968       0.0829957212581442       0.9557257796923988
315                      0.08818736418197515      0.08721474524675393      0.9508975886127636
325                      0.10018373759317434      0.09283324794245834      0.9440329710784893
335                      0.11396335081312015      0.09887028318686275      0.9360883058181153
345                      0.12982766279436275      0.10536559916961621      0.9268605222563236
355                      0.14812673895395112      0.11235945398236849      0.916105132693204
365                      0.16926133920632747      0.1198903357126028       0.9035291739597521
375                      0.1936800626563292       0.12799123463152984      0.8887846652599084
387                      0.22800068909896565      0.13849393820957415      0.8676512778646943
400                      0.2722815973331242       0.1508268815005333       0.8396247105008879
412                      0.3204622051643192       0.16300421171340673      0.8080639961038801
425                      0.3808962650933061       0.17680208383341003      0.7667103482142769
437                      0.4436172735553272       0.18966693170444432      0.7213939155984714
450                      0.5164806701591511       0.2029868120055769       0.6650681799580112
462                      0.5834808429017577       0.21382822726187367      0.6089307401702485
475                      0.6470907945461135       0.22303175873850567      0.5506051580287779
487                      0.6875800847822862       0.22860754871165528      0.5100573535297399
500                      0.7029759708840685       0.23110464695788424      0.49357336969330423
515                      0.6832715930394447       0.22898075638815482      0.5140974811886008
530                      0.6338784869819335       0.22177901626940366      0.5629703197866137
545                      0.5689872184998381       0.2109131428315608       0.6217141044572462
560                      0.5002651543855814       0.19813487341592         0.6785848639270375
580                      0.41476713813598665      0.18047131003817937      0.7434130535019658
600                      0.3424396759073113       0.16377696661936966      0.7941897942542744
615                      0.29738916761485423      0.15237537547469182      0.8242527387483116
630                      0.2594341045579093       0.14202590316800492      0.8487605894899947
650                      0.21812435860360258      0.1297983262608252       0.874658811135111
670                      0.1853294986664824       0.11918230040689104      0.8946877000402091
690                      0.15911082956964173      0.10994648640182807      0.9103850507110993
710                      0.1379559309913091       0.10187242465604276      0.9228575611129758
730                      0.12071812615385125      0.09477094457995872      0.932898891579131
750                      0.1065355978629362       0.08848460265318167      0.9410817590572949
775                      0.09213140437054546      0.08157958547267408      0.9493225831420852
800                      0.08056554973917596      0.07555111414189135      0.9558904118217438
825                      0.07116716492422448      0.07024827727790921      0.9611961374325542
850                      0.06344417667554458      0.06555628918601931      0.9655351864497815
875                      0.0570271561377651       0.061387559627448164     0.969125591131109
900                      0.051631661208811463     0.05767456301103357      0.972132698541035
925                      0.04703290885498179      0.05436409344764906      0.974685403855333
950                      0.04304875276050035      0.05141258300123472      0.9768868888201135
975                      0.039528348153510584     0.04878228656672181      0.9788217102025331
1000                     0.03634478216549464      0.04643824935637678      0.9805604044785922
