% Model:              SDOF_2liners_2D.mph
% Version:            COMSOL 5.4.0.246
% Date:               Nov 25 2021, 11:10
% Table:              Absorption Table - Global Evaluation 1 (freq, alpha, abs(R), abs(T))
% freq (Hz)              alpha (1)                abs(R) (1)               abs(T) (1)
100                      0.010145356776654513     0.037688096913815854     0.9942003070681281
103                      0.010803427152324296     0.03888617475949261      0.9938231423448791
106                      0.011481082386701091     0.040088924144684936     0.993434343967542
109                      0.012180982494265802     0.04129675954719401      0.9930325247224461
112                      0.012905089282066573     0.04251016088722998      0.9926166414781062
115                      0.013654769742547535     0.04372959712346697      0.9921859465810186
118                      0.014430948836857804     0.044955489165089416     0.9917399130604101
122                      0.01550815010796569      0.04660067251120631      0.9911206925564301
125                      0.016348376197156345     0.047842945997559484     0.9906375100515417
128                      0.01721676871904554      0.04909269554724317      0.9901379391402292
132                      0.018419184619657858     0.05077105860367587      0.9894458625860256
136                      0.019673583261354044     0.05246364922718146      0.988723410387563
140                      0.020981289569275363     0.05417098687004772      0.9879697437736895
145                      0.022693183766850478     0.05632671189309868      0.986982329001113
150                      0.024493967452532628     0.05850740430722516      0.9859426536004506
155                      0.026387169911100017     0.06071420701746228      0.9848485239645438
160                      0.02837655957575569      0.06294830947835665      0.9836975911112426
165                      0.030466128705170625     0.06521094114728465      0.9824873558725907
170                      0.032660098663953585     0.06750336788253156      0.9812151632850779
175                      0.03496293522883931      0.06982689113806519      0.9798781914325645
180                      0.037379367074265035     0.0721828488471064       0.9784734381975071
185                      0.03991440428586812      0.07457261697641564      0.9769977075261849
190                      0.04257335614374014      0.07699761113652172      0.9754475955865229
195                      0.04536184848784863      0.07945928799183555      0.9738194766300281
200                      0.04828584121786672      0.0819591464168027       0.9721094882268985
206                      0.05198240625833084      0.08501155043612907      0.9699436220905392
212                      0.05589481697182774      0.08812390683354443      0.9676462990538253
218                      0.06003550839603733      0.09129905595213375      0.965209290250675
224                      0.0644177861903954       0.0945399310259755       0.9626237142576576
230                      0.06905588048742017      0.09784955802491516      0.9598799839078366
236                      0.07396500135716355      0.1012310544937029       0.9569677488029205
243                      0.08005659132052412      0.10527125160803172      0.9533422115192185
250                      0.08656692433833602      0.1094188772219167       0.9494527818533995
258                      0.09455842523426916      0.1142974768310623       0.9446574307947742
265                      0.10206943222479781      0.11869359253860472      0.9401289267252029
272                      0.11010069560480218      0.1232144447774925       0.9352633345712704
280                      0.11996425895518048      0.12854115929001897      0.9292539542090728
290                      0.13340918148315473      0.13545202381772928      0.9210013940057455
300                      0.14821162216077488      0.14265863026325754      0.9118316144171775
307                      0.15945358542798904      0.1478876070091766       0.9048069795625531
315                      0.1732609823243223       0.15405673988208665      0.8961057630506462
325                      0.19207202483154617      0.16206741567651153      0.8841165805166141
335                      0.2127512660294203       0.1704199295969863       0.8707501257919736
345                      0.23545316404061023      0.17912012581930636      0.8558404153145992
355                      0.2603254071514878       0.18816776242141195      0.8392064621020451
365                      0.2874985177721273       0.19755427811309773      0.820654488458502
375                      0.3170713910442827       0.2072600533861386       0.7999824243232424
387                      0.35578898721492136      0.2192794033455834       0.772092971120372
400                      0.40162315941046955      0.23265321373209943      0.7377325550154721
412                      0.4471867549754407       0.2451706004454322       0.7019292141674868
425                      0.4992935472776637       0.2586761646325576       0.6586297097560406
437                      0.5487634403701562       0.2708041329073495       0.6147370830120323
450                      0.6019619643657259       0.2831776452789754       0.5637805041401563
462                      0.6485063993083942       0.29347905228948273      0.5151345907225342
475                      0.6933003022510997       0.3029364776320431       0.46360456023295427
487                      0.7268060650573451       0.3096772626359175       0.4210628551047692
500                      0.752025087259333        0.3144484824687974       0.38613089051996
515                      0.7645111125498277       0.31638690666786506      0.3679513727917208
530                      0.7585976058410655       0.31448799208580464      0.37749132042044803
545                      0.7359708542172484       0.30908744161506807      0.41048032744408525
560                      0.7001078749416528       0.30079459092760363      0.4576185519917683
580                      0.6390833596191703       0.2865243813631196       0.5280344868143664
600                      0.5715848815987363       0.2701484515119733       0.5961836399524452
615                      0.52102127241935         0.25733175573226263      0.6424633025102687
630                      0.4726616398139238       0.24453596510885556      0.6837693485045646
650                      0.41339034328905644      0.22799182541044902      0.7311835503189025
670                      0.3609436637734954       0.2123919883133778       0.7706789081886143
690                      0.31530565765176555      0.19791336839506338      0.8034454810120936
710                      0.2759328855343409       0.1845926885817319       0.8306579643799407
730                      0.24208116280849845      0.17238808121442442      0.8533470493572416
750                      0.2129806551699467       0.16121845775074137      0.8723691613706469
775                      0.18220900761421854      0.14856422355989612      0.8920312011717004
800                      0.15655957442833235      0.13718428815235997      0.9080863927269244
825                      0.1350650346895531       0.1269012978771651       0.9213202623993124
850                      0.1169614779433813       0.11756061825949474      0.9323186274504356
875                      0.10165357949202636      0.10903259883963895      0.9415191516364646
900                      0.08868047772305732      0.10121199090313428      0.9492500488145189
925                      0.07768620173911733      0.09401614235615854      0.9557587369401073
950                      0.06839529908145892      0.08738270864204986      0.9612330431008496
975                      0.06059315636437934      0.08126716477255636      0.9658170072873281
1000                     0.05411021138288874      0.0756401726174334       0.9696227889769898
